"airplaneID","AirlineID","airplaneType"
10962,"3U","319"
10963,"3U","319"
10964,"3U","319"
10965,"3U","321"
10966,"3U","320"
10967,"3U","321"
10968,"3U","320"
10969,"3U","320"
10970,"3U","319"
10971,"3U","320"
10972,"3U","320"
10973,"3U","319"
10974,"3U","320"
10975,"3U","319"
10976,"3U","320"
10977,"3U","320"
10978,"3U","320"
10979,"3U","320 321"
10980,"3U","320"
10981,"3U","321"
10982,"3U","320"
10983,"3U","319"
10984,"3U","319"
10985,"3U","319"
10986,"3U","320"
10987,"3U","320"
10988,"3U","319"
10989,"3U","330"
10990,"3U","319"
10991,"3U","319"
10992,"3U","320"
10993,"3U","320"
10994,"3U","320"
10995,"3U","320"
10996,"4B","PL2"
10997,"4B","PL2"
10998,"4D","E70"
10999,"4D","E70"
11000,"4E","PAG"
11001,"4E","PAG"
11002,"4E","PAG"
11003,"4E","PAG"
11004,"4E","PAG"
11005,"4G","YK2"
11006,"4G","73G"
11007,"4G","TU5"
11008,"4G","TU5"
11009,"4G","73G TU5"
11010,"4G","YK4"
11011,"4G","73G"
11012,"4G","YK4"
11013,"4G","YK4"
11014,"4G","YK2"
11015,"4G","YK4"
11016,"4G","TU5"
11017,"4G","YK2"
11018,"4G","TU5"
11019,"4G","YK2"
11020,"4G","73G"
11021,"4G","73G TU5"
11022,"4G","73G"
11023,"4G","YK2"
11024,"4G","YK2"
11025,"4H","AT7"
11026,"4H","DH8"
11027,"4H","AT7"
11028,"4H","AT7"
11029,"4H","AT7"
11030,"4H","DH8"
11031,"4H","313"
11032,"4H","DH8"
11033,"4H","AT7"
11034,"4H","DH8"
11035,"4H","AT7"
11036,"4H","DH8"
11037,"4H","DH8"
11038,"4H","313"
11039,"4H","313"
11040,"4H","DH8"
11041,"4H","AT7"
11042,"4H","AT7"
11043,"4H","313"
11044,"4H","DH8"
11045,"4H","313"
11046,"4H","313"
11047,"4H","313"
11048,"4H","DH8"
11049,"4H","AT7"
11050,"4H","AT7"
11051,"4H","313"
11052,"4H","313"
11053,"4H","DH8"
11054,"4H","DH8"
11055,"4H","DH8"
11056,"4H","313"
11057,"4K","DHT"
11058,"4K","DHT"
11059,"4M","777"
11060,"4M","777"
11061,"4M","777"
11062,"4M","777 763"
11063,"4M","763"
11064,"4M","777"
11065,"4M","777 763"
11066,"4M","763"
11067,"4M","763"
11068,"4M","763"
11069,"4N","737"
11070,"4N","737"
11071,"4N","737"
11072,"4N","737"
11073,"4N","737"
11074,"4N","737"
11075,"4N","737"
11076,"4N","737"
11077,"4N","737"
11078,"4N","737"
11079,"4N","737"
11080,"4N","737"
11081,"4N","737"
11082,"4O","320"
11083,"4O","320"
11084,"4O","SU9"
11085,"4O","320"
11086,"4O","320"
11087,"4O","320"
11088,"4O","320"
11089,"4O","SU9"
11090,"4O","320"
11091,"4O","320"
11092,"4O","320"
11093,"4O","320"
11094,"4O","320"
11095,"4O","320"
11096,"4O","320"
11097,"4O","320"
11098,"4O","320"
11099,"4O","320"
11100,"4O","320"
11101,"4O","320"
11102,"4O","320"
11103,"4O","320"
11104,"4O","320"
11105,"4O","320"
11106,"4O","320"
11107,"4O","320"
11108,"4O","SU9"
11109,"4O","320"
11110,"4O","320"
11111,"4O","320"
11112,"4O","SU9"
11113,"4O","320"
11114,"4O","320"
11115,"4O","320"
11116,"4O","320"
11117,"4O","SU9"
11118,"4O","320"
11119,"4O","320"
11120,"4O","320"
11121,"4O","320"
11122,"4O","320"
11123,"4O","320"
11124,"4O","320"
11125,"4O","320"
11126,"4O","320"
11127,"4O","320"
11128,"4O","320"
11129,"4O","SU9"
11130,"4O","320"
11131,"4O","320"
11132,"4O","SU9"
11133,"4O","320"
11134,"4O","SU9"
11135,"4O","320"
11136,"4O","SU9"
11137,"4O","320"
11138,"4O","SU9"
11139,"4O","320"
11140,"4O","320"
11141,"4O","320"
11142,"4O","320"
11143,"4O","320"
11144,"4O","320"
11145,"4O","320"
11146,"4O","SU9"
11147,"4O","320"
11148,"4O","320"
11149,"4O","SU9"
11150,"4O","320"
11151,"4O","SU9"
11152,"4O","320"
11153,"4O","320"
11154,"4O","SU9"
11155,"4O","320"
11156,"4O","320"
11157,"4O","320"
11158,"4O","320"
11159,"4O","320"
11160,"4O","320"
11161,"4O","SU9"
11162,"4O","320"
11163,"4O","SU9"
11164,"4O","320"
11165,"4O","320"
11166,"4O","SU9"
11167,"4O","320"
11168,"4O","320"
11169,"4O","320"
11170,"4O","320"
11171,"4O","320"
11172,"4O","320"
11173,"4O","320"
11174,"4O","320"
11175,"4O","320"
11176,"4O","320"
11177,"4O","320"
11178,"4O","320"
11179,"4O","320"
11180,"4O","320"
11181,"4O","320"
11182,"4O","320"
11183,"4O","320"
11184,"4O","320"
11185,"4O","320"
11186,"4O","320"
11187,"4O","320"
11188,"4O","320"
11189,"4O","SU9"
11190,"4O","320"
11191,"4O","320"
11192,"4O","SU9"
11193,"4O","320"
11194,"4O","320"
11195,"4O","SU9"
11196,"4Q","320"
11197,"4Q","320"
11198,"4Q","319"
11199,"4Q","320"
11200,"4Q","319"
11201,"4Q","319 320"
